Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"5CV","CUREVAC NV","Gesundheitsversorgung","Aktien","187.536,44","0,01","187.536,44","25.506,00","7,35","Deutschland","Boerse Berlin","EUR"
"ALEC","ALECTOR INC","Gesundheitsversorgung","Aktien","187.598,40","0,01","187.598,40","28.424,00","6,60","Vereinigte Staaten","NASDAQ","USD"
"ALHC","ALIGNMENT HEALTHCARE INC","Gesundheitsversorgung","Aktien","187.718,76","0,01","187.718,76","29.844,00","6,29","Vereinigte Staaten","NASDAQ","USD"
"VMEO","VIMEO INC","Kommunikation","Aktien","187.483,94","0,01","187.483,94","56.986,00","3,29","Vereinigte Staaten","NASDAQ","USD"
"BDN","BRANDYWINE REALTY TRUST REIT","Immobilien","Aktien","186.682,86","0,01","186.682,86","47.502,00","3,93","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"OIS","OIL STATES INTERNATIONAL INC","Energie","Aktien","186.841,60","0,01","186.841,60","26.540,00","7,04","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"7575","JAPAN LIFELINE LTD","Gesundheitsversorgung","Aktien","186.658,10","0,01","186.658,10","27.300,00","6,84","Japan","Tokyo Stock Exchange","JPY"
"GDYN","GRID DYNAMICS HOLDINGS INC CLASS A","IT","Aktien","185.224,80","0,01","185.224,80","17.040,00","10,87","Vereinigte Staaten","NASDAQ","USD"
"ELIOR","ELIOR GROUP SA","Zyklische Konsumgüter ","Aktien","184.118,05","0,01","184.118,05","52.944,00","3,48","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"806","VALUE PARTNERS GROUP LTD","Financials","Aktien","184.185,79","0,01","184.185,79","583.000,00","0,32","Hongkong","Hong Kong Exchanges & Clearing Ltd","HKD"
"BY","BYLINE BANCORP INC","Financials","Aktien","184.037,85","0,01","184.037,85","9.511,00","19,35","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMWL","AMERICAN WELL CORP CLASS A","Gesundheitsversorgung","Aktien","183.762,90","0,01","183.762,90","83.910,00","2,19","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6750","ELECOM LTD","IT","Aktien","183.221,83","0,01","183.221,83","19.400,00","9,44","Japan","Tokyo Stock Exchange","JPY"
"SLGC","SOMALOGIC INC CLASS A","Gesundheitsversorgung","Aktien","182.714,00","0,01","182.714,00","65.255,00","2,80","Vereinigte Staaten","NASDAQ","USD"
"CCO","CLEAR CHANNEL OUTDOOR HOLDINGS INC","Kommunikation","Aktien","182.737,76","0,01","182.737,76","143.888,00","1,27","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HTG","HUNTING PLC","Energie","Aktien","182.156,94","0,01","182.156,94","61.934,00","2,94","Vereinigtes Königreich","London Stock Exchange","GBP"
"NTGR","NETGEAR INC","IT","Aktien","181.457,46","0,01","181.457,46","12.842,00","14,13","Vereinigte Staaten","NASDAQ","USD"
"ITRN","ITURAN LOCATION & CONTROL LTD","IT","Aktien","181.209,60","0,01","181.209,60","8.712,00","20,80","Israel","NASDAQ","USD"
"1720","TOKYU CONSTRUCTION LTD","Industrie","Aktien","180.588,26","0,01","180.588,26","34.200,00","5,28","Japan","Tokyo Stock Exchange","JPY"
"ME","23ANDME HOLDING CLASS A","Gesundheitsversorgung","Aktien","180.158,47","0,01","180.158,47","91.451,00","1,97","Vereinigte Staaten","NASDAQ","USD"
"6703","OKI ELECTRIC INDUSTRY LTD","IT","Aktien","180.288,62","0,01","180.288,62","33.400,00","5,40","Japan","Tokyo Stock Exchange","JPY"
"ITM","ITM POWER PLC","Industrie","Aktien","180.375,19","0,01","180.375,19","183.561,00","0,98","Vereinigtes Königreich","London Stock Exchange","GBP"
"EQRX","EQRX INC","Gesundheitsversorgung","Aktien","179.998,56","0,01","179.998,56","107.142,00","1,68","Vereinigte Staaten","NASDAQ","USD"
"ALTR","ALTRI SGPS SA","Materialien","Aktien","179.564,72","0,01","179.564,72","34.680,00","5,18","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"CUBI","CUSTOMERS BANCORP INC","Financials","Aktien","179.655,84","0,01","179.655,84","8.226,00","21,84","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LXU","LSB INDUSTRIES INC","Materialien","Aktien","179.796,62","0,01","179.796,62","20.134,00","8,93","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TARO","TARO PHARMACEUTICAL INDUSTRIES LTD","Gesundheitsversorgung","Aktien","179.020,80","0,01","179.020,80","7.104,00","25,20","Israel","New York Stock Exchange Inc.","USD"
"1821","SUMITOMO MITSUI CONSTRUCTION LTD","Industrie","Aktien","179.260,46","0,01","179.260,46","63.400,00","2,83","Japan","Tokyo Stock Exchange","JPY"
"DIC","DIC ASSET AG","Immobilien","Aktien","178.465,11","0,01","178.465,11","23.462,00","7,61","Deutschland","Xetra","EUR"
"IHRT","IHEARTMEDIA INC CLASS A","Kommunikation","Aktien","178.472,51","0,01","178.472,51","51.433,00","3,47","Vereinigte Staaten","NASDAQ","USD"
"GSF","GRIEG SEAFOOD","Nichtzyklische Konsumgüter","Aktien","178.389,51","0,01","178.389,51","21.357,00","8,35","Norwegen","Oslo Bors Asa","NOK"
