Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"EPR","EPR PROPERTIES REIT","Immobilien","Aktien","1.374.315,88","0,05","1.374.315,88","32.753,00","41,96","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GN","GN STORE NORD","Zyklische Konsumgüter ","Aktien","1.373.628,78","0,05","1.373.628,78","51.521,00","26,66","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"PCOR","PROCORE TECHNOLOGIES INC","IT","Aktien","1.369.218,76","0,05","1.369.218,76","25.636,00","53,41","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"VTY","VISTRY GROUP PLC","Zyklische Konsumgüter ","Aktien","1.368.603,50","0,05","1.368.603,50","139.153,00","9,84","Vereinigtes Königreich","London Stock Exchange","GBP"
"DRX","DRAX GROUP PLC","Versorger","Aktien","1.368.250,02","0,05","1.368.250,02","172.902,00","7,91","Vereinigtes Königreich","London Stock Exchange","GBP"
"BL","BLACKLINE INC","IT","Aktien","1.367.791,92","0,05","1.367.791,92","24.552,00","55,71","Vereinigte Staaten","NASDAQ","USD"
"SCR","SCOR","Financials","Aktien","1.366.110,71","0,05","1.366.110,71","52.836,00","25,86","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ALE","ALLETE INC","Versorger","Aktien","1.365.311,06","0,05","1.365.311,06","21.887,00","62,38","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AWR","AMERICAN STATES WATER","Versorger","Aktien","1.364.797,50","0,05","1.364.797,50","15.378,00","88,75","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ATS","ATS CORP","Industrie","Aktien","1.364.492,46","0,05","1.364.492,46","31.864,00","42,82","Kanada","Toronto Stock Exchange","CAD"
"KGX","KION GROUP AG","Industrie","Aktien","1.364.111,67","0,05","1.364.111,67","33.020,00","41,31","Deutschland","Xetra","EUR"
"SAM","BOSTON BEER INC CLASS A","Nichtzyklische Konsumgüter","Aktien","1.362.117,90","0,05","1.362.117,90","4.290,00","317,51","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AEIS","ADVANCED ENERGY INDUSTRIES INC","IT","Aktien","1.360.212,50","0,05","1.360.212,50","15.725,00","86,50","Vereinigte Staaten","NASDAQ","USD"
"4927","POLA ORBIS HOLDINGS INC","Nichtzyklische Konsumgüter","Aktien","1.357.435,46","0,05","1.357.435,46","97.900,00","13,87","Japan","Tokyo Stock Exchange","JPY"
"LYFT","LYFT INC CLASS A","Industrie","Aktien","1.357.602,25","0,05","1.357.602,25","132.449,00","10,25","Vereinigte Staaten","NASDAQ","USD"
"NXT","NEXTDC LTD","IT","Aktien","1.356.514,50","0,05","1.356.514,50","178.805,00","7,59","Australien","Asx - All Markets","AUD"
"HUH1V","HUHTAMAKI","Materialien","Aktien","1.356.088,60","0,05","1.356.088,60","37.633,00","36,03","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"GXI","GERRESHEIMER AG","Gesundheitsversorgung","Aktien","1.355.086,25","0,05","1.355.086,25","12.436,00","108,96","Deutschland","Xetra","EUR"
"KBH","KB HOME","Zyklische Konsumgüter ","Aktien","1.354.476,20","0,05","1.354.476,20","30.910,00","43,82","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6028","TECHNOPRO HOLDINGS INC","Industrie","Aktien","1.350.493,89","0,05","1.350.493,89","49.700,00","27,17","Japan","Tokyo Stock Exchange","JPY"
"MGY","MAGNOLIA OIL GAS CORP CLASS A","Energie","Aktien","1.349.462,40","0,05","1.349.462,40","63.895,00","21,12","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DLG","DIRECT LINE INSURANCE PLC","Financials","Aktien","1.349.615,43","0,05","1.349.615,43","625.555,00","2,16","Vereinigtes Königreich","London Stock Exchange","GBP"
"6923","STANLEY ELECTRIC LTD","Zyklische Konsumgüter ","Aktien","1.348.463,26","0,05","1.348.463,26","60.300,00","22,36","Japan","Tokyo Stock Exchange","JPY"
"NCR","NCR CORP","IT","Aktien","1.347.029,28","0,05","1.347.029,28","60.432,00","22,29","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WU","WESTERN UNION","Financials","Aktien","1.346.412,05","0,05","1.346.412,05","123.185,00","10,93","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AM","ANTERO MIDSTREAM CORP","Energie","Aktien","1.345.204,44","0,05","1.345.204,44","125.019,00","10,76","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"7012","KAWASAKI HEAVY INDUSTRIES LTD","Industrie","Aktien","1.344.232,37","0,05","1.344.232,37","62.300,00","21,58","Japan","Tokyo Stock Exchange","JPY"
"MLCO","MELCO RESORTS ENTERTAINMENT ADR LT","Zyklische Konsumgüter ","Aktien","1.340.511,92","0,05","1.340.511,92","98.278,00","13,64","Hongkong","NASDAQ","USD"
"SM","SM ENERGY","Energie","Aktien","1.339.724,88","0,05","1.339.724,88","47.711,00","28,08","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"4527","ROHTO PHARMACEUTICAL LTD","Nichtzyklische Konsumgüter","Aktien","1.338.687,62","0,05","1.338.687,62","64.800,00","20,66","Japan","Tokyo Stock Exchange","JPY"
"CUZ","COUSINS PROPERTIES REIT INC","Immobilien","Aktien","1.335.753,45","0,05","1.335.753,45","61.245,00","21,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ATZ","ARITZIA SUBORDINATE VOTING INC","Zyklische Konsumgüter ","Aktien","1.335.453,69","0,05","1.335.453,69","42.064,00","31,75","Kanada","Toronto Stock Exchange","CAD"
"NARI","INARI MEDICAL INC","Gesundheitsversorgung","Aktien","1.329.794,82","0,05","1.329.794,82","20.021,00","66,42","Vereinigte Staaten","NASDAQ","USD"
"AIXA","AIXTRON","IT","Aktien","1.329.097,17","0,05","1.329.097,17","46.972,00","28,30","Deutschland","Xetra","EUR"
"CYTK","CYTOKINETICS INC","Gesundheitsversorgung","Aktien","1.324.745,40","0,05","1.324.745,40","35.421,00","37,40","Vereinigte Staaten","NASDAQ","USD"
"AZA","AVANZA BANK HOLDING","Financials","Aktien","1.321.131,09","0,05","1.321.131,09","62.247,00","21,22","Schweden","Nasdaq Omx Nordic","SEK"
"OI","O-I","Materialien","Aktien","1.315.506,15","0,05","1.315.506,15","58.545,00","22,47","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SXT","SENSIENT TECHNOLOGIES CORP","Materialien","Aktien","1.311.985,20","0,05","1.311.985,20","17.620,00","74,46","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BOQ","BANK OF QUEENSLAND LTD","Financials","Aktien","1.307.581,07","0,05","1.307.581,07","341.144,00","3,83","Australien","Asx - All Markets","AUD"
"CNO","CNO FINANCIAL GROUP INC","Financials","Aktien","1.306.613,88","0,05","1.306.613,88","58.227,00","22,44","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"COOP","MR COOPER GROUP INC","Financials","Aktien","1.306.215,60","0,05","1.306.215,60","28.212,00","46,30","Vereinigte Staaten","NASDAQ","USD"
"4403","NOF CORP","Materialien","Aktien","1.304.689,16","0,05","1.304.689,16","28.700,00","45,46","Japan","Tokyo Stock Exchange","JPY"
"BPMC","BLUEPRINT MEDICINES CORP","Gesundheitsversorgung","Aktien","1.302.591,80","0,05","1.302.591,80","25.516,00","51,05","Vereinigte Staaten","NASDAQ","USD"
"SPM","SAIPEM","Energie","Aktien","1.300.830,50","0,05","1.300.830,50","850.136,00","1,53","Italien","Borsa Italiana","EUR"
"ADNT","ADIENT PLC","Zyklische Konsumgüter ","Aktien","1.299.807,78","0,05","1.299.807,78","35.187,00","36,94","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RENE","REN REDES ENERGETICAS NACIONAIS SA","Versorger","Aktien","1.299.855,07","0,05","1.299.855,07","446.833,00","2,91","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"AEL","AMERICAN EQUITY INVESTMENT LIFE HO","Financials","Aktien","1.298.027,20","0,05","1.298.027,20","33.680,00","38,54","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RIOT","RIOT PLATFORMS INC","IT","Aktien","1.296.380,28","0,05","1.296.380,28","108.393,00","11,96","Vereinigte Staaten","NASDAQ","USD"
"SGRY","SURGERY PARTNERS INC","Gesundheitsversorgung","Aktien","1.295.612,88","0,05","1.295.612,88","32.668,00","39,66","Vereinigte Staaten","NASDAQ","USD"
"ESGR","ENSTAR GROUP LTD","Financials","Aktien","1.294.187,40","0,05","1.294.187,40","5.379,00","240,60","Vereinigte Staaten","NASDAQ","USD"
"JBH","JB HI-FI LTD","Zyklische Konsumgüter ","Aktien","1.290.992,32","0,05","1.290.992,32","43.949,00","29,37","Australien","Asx - All Markets","AUD"
"UMBF","UMB FINANCIAL CORP","Financials","Aktien","1.290.646,90","0,05","1.290.646,90","20.290,00","63,61","Vereinigte Staaten","NASDAQ","USD"
"3099","ISETAN MITSUKOSHI HOLDINGS LTD","Zyklische Konsumgüter ","Aktien","1.287.637,79","0,05","1.287.637,79","117.200,00","10,99","Japan","Tokyo Stock Exchange","JPY"
"BS6","YANGZIJIANG SHIPBUILDING HOLDINGS","Industrie","Aktien","1.286.332,12","0,05","1.286.332,12","1.384.000,00","0,93","Singapur","Singapore Exchange","SGD"
"OMCL","OMNICELL INC","Gesundheitsversorgung","Aktien","1.282.793,93","0,05","1.282.793,93","21.109,00","60,77","Vereinigte Staaten","NASDAQ","USD"
"TEX","TEREX CORP","Industrie","Aktien","1.282.363,81","0,05","1.282.363,81","28.759,00","44,59","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CWY","CLEANAWAY WASTE MANAGEMENT LTD","Industrie","Aktien","1.281.500,63","0,05","1.281.500,63","801.310,00","1,60","Australien","Asx - All Markets","AUD"
"VSCO","VICTORIA S SECRET","Zyklische Konsumgüter ","Aktien","1.275.999,48","0,04","1.275.999,48","41.148,00","31,01","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8252","MARUI GROUP LTD","Financials","Aktien","1.272.221,20","0,04","1.272.221,20","80.200,00","15,86","Japan","Tokyo Stock Exchange","JPY"
"LGIH","LGI HOMES INC","Zyklische Konsumgüter ","Aktien","1.270.922,40","0,04","1.270.922,40","10.698,00","118,80","Vereinigte Staaten","NASDAQ","USD"
"OV8","SHENG SIONG GROUP LTD","Nichtzyklische Konsumgüter","Aktien","1.270.304,52","0,04","1.270.304,52","957.501,00","1,33","Singapur","Singapore Exchange","SGD"
"DOM","DOMETIC","Zyklische Konsumgüter ","Aktien","1.269.141,23","0,04","1.269.141,23","177.646,00","7,14","Schweden","Nasdaq Omx Nordic","SEK"
"NTLA","INTELLIA THERAPEUTICS INC","Gesundheitsversorgung","Aktien","1.268.777,50","0,04","1.268.777,50","33.610,00","37,75","Vereinigte Staaten","NASDAQ","USD"
"ISS","ISS A S","Industrie","Aktien","1.267.794,94","0,04","1.267.794,94","60.704,00","20,88","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"IG","ITALGAS","Versorger","Aktien","1.267.988,37","0,04","1.267.988,37","193.683,00","6,55","Italien","Borsa Italiana","EUR"
"QQ.","QINETIQ GROUP PLC","Industrie","Aktien","1.266.836,20","0,04","1.266.836,20","271.380,00","4,67","Vereinigtes Königreich","London Stock Exchange","GBP"
"HHC","HOWARD HUGHES CORP","Immobilien","Aktien","1.265.463,72","0,04","1.265.463,72","16.356,00","77,37","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8960","UNITED URBAN INVESTMENT REIT CORP","Immobilien","Aktien","1.265.310,47","0,04","1.265.310,47","1.141,00","1.108,95","Japan","Tokyo Stock Exchange","JPY"
"BC","BRUNELLO CUCINELLI","Zyklische Konsumgüter ","Aktien","1.264.323,21","0,04","1.264.323,21","13.209,00","95,72","Italien","Borsa Italiana","EUR"
"SCHA","SCHIBSTED CLASS A","Kommunikation","Aktien","1.263.540,70","0,04","1.263.540,70","71.550,00","17,66","Norwegen","Oslo Bors Asa","NOK"
"MSGS","MADISON SQUARE GARDEN SPORTS CORP","Kommunikation","Aktien","1.263.350,50","0,04","1.263.350,50","6.301,00","200,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SPR","SPIRIT AEROSYSTEMS INC CLASS A","Industrie","Aktien","1.262.984,64","0,04","1.262.984,64","42.439,00","29,76","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMBU B","AMBU CLASS B","Gesundheitsversorgung","Aktien","1.262.318,78","0,04","1.262.318,78","79.499,00","15,88","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"THULE","THULE GROUP","Zyklische Konsumgüter ","Aktien","1.262.366,36","0,04","1.262.366,36","43.789,00","28,83","Schweden","Nasdaq Omx Nordic","SEK"
"ROG","ROGERS CORP","IT","Aktien","1.260.399,45","0,04","1.260.399,45","7.831,00","160,95","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NAVI","NAVIENT CORP","Financials","Aktien","1.259.653,32","0,04","1.259.653,32","76.158,00","16,54","Vereinigte Staaten","NASDAQ","USD"
"ATM","THE A2 MILK COMPANY LTD","Nichtzyklische Konsumgüter","Aktien","1.257.580,06","0,04","1.257.580,06","345.097,00","3,64","Neuseeland","New Zealand Exchange Ltd","NZD"
"7211","MITSUBISHI MOTORS CORP","Zyklische Konsumgüter ","Aktien","1.257.195,31","0,04","1.257.195,31","332.400,00","3,78","Japan","Tokyo Stock Exchange","JPY"
"BCO","BRINKS","Industrie","Aktien","1.257.377,10","0,04","1.257.377,10","20.006,00","62,85","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PNN","PENNON GROUP PLC","Versorger","Aktien","1.257.450,52","0,04","1.257.450,52","116.330,00","10,81","Vereinigtes Königreich","London Stock Exchange","GBP"
"PXT","PAREX RESOURCES INC","Energie","Aktien","1.256.032,40","0,04","1.256.032,40","61.925,00","20,28","Kanada","Toronto Stock Exchange","CAD"
"BTU","PEABODY ENERGY CORP","Energie","Aktien","1.247.863,02","0,04","1.247.863,02","51.951,00","24,02","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AWI","ARMSTRONG WORLD INDUSTRIES INC","Industrie","Aktien","1.245.835,70","0,04","1.245.835,70","18.145,00","68,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NVMI","NOVA LTD","IT","Aktien","1.244.956,37","0,04","1.244.956,37","13.628,00","91,35","Israel","Tel Aviv Stock Exchange","ILS"
"ACA","ARCOSA INC","Industrie","Aktien","1.245.032,36","0,04","1.245.032,36","18.434,00","67,54","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TMV","TEAMVIEWER","IT","Aktien","1.244.185,78","0,04","1.244.185,78","67.585,00","18,41","Deutschland","Xetra","EUR"
"BOKF","Bank of Khyber CORP","Financials","Aktien","1.242.869,53","0,04","1.242.869,53","14.819,00","83,87","Vereinigte Staaten","NASDAQ","USD"
"FWRD","FORWARD AIR CORP","Industrie","Aktien","1.242.380,25","0,04","1.242.380,25","11.775,00","105,51","Vereinigte Staaten","NASDAQ","USD"
"BUCN","BUCHER INDUSTRIES AG","Industrie","Aktien","1.242.410,20","0,04","1.242.410,20","2.759,00","450,31","Schweiz","SIX Swiss Exchange","CHF"
"COKE","COCA-COLA CONSOLIDATED INC","Nichtzyklische Konsumgüter","Aktien","1.242.581,68","0,04","1.242.581,68","2.108,00","589,46","Vereinigte Staaten","NASDAQ","USD"
"1911","SUMITOMO FORESTRY LTD","Zyklische Konsumgüter ","Aktien","1.241.618,62","0,04","1.241.618,62","57.800,00","21,48","Japan","Tokyo Stock Exchange","JPY"
"APLE","APPLE HOSPITALITY REIT INC","Immobilien","Aktien","1.241.453,75","0,04","1.241.453,75","83.375,00","14,89","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SMPL","THE SIMPLY GOOD FOODS COMPANY","Nichtzyklische Konsumgüter","Aktien","1.237.343,77","0,04","1.237.343,77","34.021,00","36,37","Vereinigte Staaten","NASDAQ","USD"
"U96","SEMBCORP INDUSTRIES LTD","Versorger","Aktien","1.235.735,11","0,04","1.235.735,11","385.200,00","3,21","Singapur","Singapore Exchange","SGD"
"PBH","PRESTIGE CONSUMER HEALTHCARE INC","Gesundheitsversorgung","Aktien","1.235.091,69","0,04","1.235.091,69","20.073,00","61,53","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DY","DYCOM INDUSTRIES INC","Industrie","Aktien","1.233.420,54","0,04","1.233.420,54","13.317,00","92,62","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8136","SANRIO LTD","Zyklische Konsumgüter ","Aktien","1.231.417,77","0,04","1.231.417,77","26.700,00","46,12","Japan","Tokyo Stock Exchange","JPY"
"KLIC","KULICKE & SOFFA INDUSTRIES INC","IT","Aktien","1.230.867,16","0,04","1.230.867,16","25.826,00","47,66","Vereinigte Staaten","NASDAQ","USD"
"CRI","CARTERS INC","Zyklische Konsumgüter ","Aktien","1.228.649,70","0,04","1.228.649,70","17.610,00","69,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RVNC","REVANCE THERAPEUTICS INC","Gesundheitsversorgung","Aktien","1.228.256,04","0,04","1.228.256,04","38.588,00","31,83","Vereinigte Staaten","NASDAQ","USD"
"ILU","ILUKA RESOURCES LTD","Materialien","Aktien","1.223.683,49","0,04","1.223.683,49","168.795,00","7,25","Australien","Asx - All Markets","AUD"
"MRL","MERLIN PROPERTIES REIT SA","Immobilien","Aktien","1.223.399,21","0,04","1.223.399,21","138.346,00","8,84","Spanien","Bolsa De Madrid","EUR"
"BECN","BEACON ROOFING SUPPLY INC","Industrie","Aktien","1.222.496,52","0,04","1.222.496,52","20.314,00","60,18","Vereinigte Staaten","NASDAQ","USD"
"RETA","REATA PHARMACEUTICALS INC CLASS A","Gesundheitsversorgung","Aktien","1.222.502,76","0,04","1.222.502,76","12.366,00","98,86","Vereinigte Staaten","NASDAQ","USD"
"5334","NITERRA LTD","Zyklische Konsumgüter ","Aktien","1.221.722,18","0,04","1.221.722,18","58.700,00","20,81","Japan","Tokyo Stock Exchange","JPY"
"PTON","PELOTON INTERACTIVE CLASS A INC","Zyklische Konsumgüter ","Aktien","1.219.428,24","0,04","1.219.428,24","137.323,00","8,88","Vereinigte Staaten","NASDAQ","USD"
"9142","KYUSHU RAILWAY","Industrie","Aktien","1.218.910,88","0,04","1.218.910,88","53.800,00","22,66","Japan","Tokyo Stock Exchange","JPY"
"8369","BANK OF KYOTO LTD","Financials","Aktien","1.216.061,40","0,04","1.216.061,40","24.900,00","48,84","Japan","Tokyo Stock Exchange","JPY"
"KRC","KILROY REALTY REIT CORP","Immobilien","Aktien","1.215.214,40","0,04","1.215.214,40","41.560,00","29,24","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"7731","NIKON CORP","Zyklische Konsumgüter ","Aktien","1.214.893,70","0,04","1.214.893,70","118.500,00","10,25","Japan","Tokyo Stock Exchange","JPY"
"TIETO","TIETO","IT","Aktien","1.213.970,76","0,04","1.213.970,76","37.970,00","31,97","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"NGVT","INGEVITY CORP","Materialien","Aktien","1.213.553,84","0,04","1.213.553,84","16.916,00","71,74","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NKT","NKT","Industrie","Aktien","1.213.124,38","0,04","1.213.124,38","23.123,00","52,46","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"THS","TREEHOUSE FOODS INC","Nichtzyklische Konsumgüter","Aktien","1.212.609,00","0,04","1.212.609,00","22.772,00","53,25","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MGEE","MGE ENERGY INC","Versorger","Aktien","1.212.046,81","0,04","1.212.046,81","15.821,00","76,61","Vereinigte Staaten","NASDAQ","USD"
"DUOL","DUOLINGO INC CLASS A","Zyklische Konsumgüter ","Aktien","1.209.781,60","0,04","1.209.781,60","8.885,00","136,16","Vereinigte Staaten","NASDAQ","USD"
"CCOI","COGENT COMMUNICATIONS HOLDINGS INC","Kommunikation","Aktien","1.209.028,48","0,04","1.209.028,48","17.512,00","69,04","Vereinigte Staaten","NASDAQ","USD"
"ARCAD","ARCADIS NV","Industrie","Aktien","1.206.928,83","0,04","1.206.928,83","29.184,00","41,36","Niederlande","Euronext Amsterdam","EUR"
"KIND SDB","KINDRED GROUP SDR PLC","Zyklische Konsumgüter ","Aktien","1.206.949,04","0,04","1.206.949,04","98.410,00","12,26","Schweden","Nasdaq Omx Nordic","SEK"
"LCII","LCI INDUSTRIES","Zyklische Konsumgüter ","Aktien","1.204.040,64","0,04","1.204.040,64","10.659,00","112,96","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HI","HILLENBRAND INC","Industrie","Aktien","1.203.364,36","0,04","1.203.364,36","26.378,00","45,62","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EVH","EVOLENT HEALTH INC CLASS A","Gesundheitsversorgung","Aktien","1.203.022,81","0,04","1.203.022,81","33.041,00","36,41","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DLN","DERWENT LONDON REIT PLC","Immobilien","Aktien","1.202.497,09","0,04","1.202.497,09","39.830,00","30,19","Vereinigtes Königreich","London Stock Exchange","GBP"
"CORT","CORCEPT THERAPEUTICS INC","Gesundheitsversorgung","Aktien","1.201.930,44","0,04","1.201.930,44","53.348,00","22,53","Vereinigte Staaten","NASDAQ","USD"
"DOC","PHYSICIANS REALTY TRUST REIT","Immobilien","Aktien","1.201.459,98","0,04","1.201.459,98","83.319,00","14,42","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"3405","KURARAY LTD","Materialien","Aktien","1.198.469,50","0,04","1.198.469,50","128.800,00","9,30","Japan","Tokyo Stock Exchange","JPY"
"TE","TECHNIP ENERGIES NV","Energie","Aktien","1.195.203,13","0,04","1.195.203,13","53.781,00","22,22","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"RPD","RAPID7 INC","IT","Aktien","1.194.299,09","0,04","1.194.299,09","24.569,00","48,61","Vereinigte Staaten","NASDAQ","USD"
"3289","TOKYU FUDOSAN HOLDINGS CORP","Immobilien","Aktien","1.193.729,67","0,04","1.193.729,67","236.600,00","5,05","Japan","Tokyo Stock Exchange","JPY"
"STAA","STAAR SURGICAL","Gesundheitsversorgung","Aktien","1.191.083,94","0,04","1.191.083,94","16.902,00","70,47","Vereinigte Staaten","NASDAQ","USD"
"TCN","TRICON RESIDENTIAL INC","Immobilien","Aktien","1.189.795,75","0,04","1.189.795,75","148.593,00","8,01","Kanada","Toronto Stock Exchange","CAD"
"5384","FUJIMI INC","Materialien","Aktien","1.189.226,31","0,04","1.189.226,31","23.100,00","51,48","Japan","Tokyo Stock Exchange","JPY"
"RARE","ULTRAGENYX PHARMACEUTICAL INC","Gesundheitsversorgung","Aktien","1.188.479,05","0,04","1.188.479,05","27.215,00","43,67","Vereinigte Staaten","NASDAQ","USD"
"DKSH","DKSH HOLDING AG","Industrie","Aktien","1.187.668,16","0,04","1.187.668,16","14.899,00","79,71","Schweiz","SIX Swiss Exchange","CHF"
"VRLA","VERALLIA SA","Materialien","Aktien","1.187.365,47","0,04","1.187.365,47","29.210,00","40,65","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BE","BLOOM ENERGY CLASS A CORP","Industrie","Aktien","1.184.647,50","0,04","1.184.647,50","71.150,00","16,65","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SUBC","SUBSEA SA","Energie","Aktien","1.184.105,06","0,04","1.184.105,06","104.064,00","11,38","Norwegen","Oslo Bors Asa","NOK"
"IVG","IVECO GROUP NV","Industrie","Aktien","1.182.194,66","0,04","1.182.194,66","131.390,00","9,00","Italien","Borsa Italiana","EUR"
"1963","JGC HOLDINGS CORP","Industrie","Aktien","1.180.867,33","0,04","1.180.867,33","95.200,00","12,40","Japan","Tokyo Stock Exchange","JPY"
"CALX","CALIX NETWORKS INC","IT","Aktien","1.179.882,60","0,04","1.179.882,60","25.818,00","45,70","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ALU","ALTIUM LTD","IT","Aktien","1.177.738,65","0,04","1.177.738,65","46.690,00","25,22","Australien","Asx - All Markets","AUD"
"ACIW","ACI WORLDWIDE INC","IT","Aktien","1.176.071,90","0,04","1.176.071,90","46.430,00","25,33","Vereinigte Staaten","NASDAQ","USD"
"3563","FOOD & LIFE COMPANIES LTD","Zyklische Konsumgüter ","Aktien","1.174.934,82","0,04","1.174.934,82","49.000,00","23,98","Japan","Tokyo Stock Exchange","JPY"
"KWS","KEYWORDS STUDIOS PLC","IT","Aktien","1.175.078,32","0,04","1.175.078,32","34.626,00","33,94","Vereinigtes Königreich","London Stock Exchange","GBP"
"SFZN","SIEGFRIED HOLDING AG","Gesundheitsversorgung","Aktien","1.172.383,57","0,04","1.172.383,57","1.520,00","771,30","Schweiz","SIX Swiss Exchange","CHF"
"GT","GOODYEAR TIRE & RUBBER","Zyklische Konsumgüter ","Aktien","1.172.067,49","0,04","1.172.067,49","109.847,00","10,67","Vereinigte Staaten","NASDAQ","USD"
"ARRY","ARRAY TECHNOLOGIES INC","Industrie","Aktien","1.171.805,45","0,04","1.171.805,45","57.301,00","20,45","Vereinigte Staaten","NASDAQ","USD"
"INDV","INDIVIOR PLC","Gesundheitsversorgung","Aktien","1.171.359,73","0,04","1.171.359,73","61.071,00","19,18","Vereinigtes Königreich","London Stock Exchange","GBP"
"HPOL B","HEXPOL CLASS B","Materialien","Aktien","1.169.032,85","0,04","1.169.032,85","99.346,00","11,77","Schweden","Nasdaq Omx Nordic","SEK"
"SPB","SPECTRUM BRANDS HOLDINGS INC","Nichtzyklische Konsumgüter","Aktien","1.166.144,00","0,04","1.166.144,00","17.536,00","66,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GO","GROCERY OUTLET HOLDING CORP","Nichtzyklische Konsumgüter","Aktien","1.165.887,00","0,04","1.165.887,00","39.150,00","29,78","Vereinigte Staaten","NASDAQ","USD"
"SFBS","SERVISFIRST BANCSHARES INC","Financials","Aktien","1.164.429,00","0,04","1.164.429,00","23.058,00","50,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AIN","ALBANY INTERNATIONAL CORP CLASS A","Industrie","Aktien","1.164.569,28","0,04","1.164.569,28","12.768,00","91,21","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TOP","TOPDANMARK","Financials","Aktien","1.159.475,89","0,04","1.159.475,89","21.964,00","52,79","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"PK","PARK HOTELS & RESORTS INC","Immobilien","Aktien","1.158.402,65","0,04","1.158.402,65","96.133,00","12,05","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"VNO","VORNADO REALTY TRUST REIT","Immobilien","Aktien","1.158.471,80","0,04","1.158.471,80","77.180,00","15,01","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GL9","GLANBIA PLC","Nichtzyklische Konsumgüter","Aktien","1.158.476,88","0,04","1.158.476,88","76.316,00","15,18","Irland","Irish Stock Exchange - All Market","EUR"
"ANN","ANSELL LTD","Gesundheitsversorgung","Aktien","1.158.536,88","0,04","1.158.536,88","65.512,00","17,68","Australien","Asx - All Markets","AUD"
"FLS","FLSMIDTH & CO.","Industrie","Aktien","1.156.269,04","0,04","1.156.269,04","29.303,00","39,46","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"CCC","COMPUTACENTER PLC","IT","Aktien","1.155.866,46","0,04","1.155.866,46","40.053,00","28,86","Vereinigtes Königreich","London Stock Exchange","GBP"
